year,month,day,open,high,low,close,vol
2004,10,18,143.12,149,141.21,148.99,6718606
2004,10,19,150.5,152.4,147.35,147.93,8849522
2004,10,20,147.94,148.99,139.6,140.71,10847697
2004,10,21,144.13,150.13,141.62,149.77,11026296
2004,10,22,171.1,180.17,164.08,172.8,33868406
2004,10,25,176.15,194.43,172.55,187.5,31784252
2004,10,26,186.45,192.64,180,182.04,21235690
2004,10,27,182.65,189.52,181.77,185.95,12949145
2004,10,28,186.42,194.39,185.6,192.98,14323736
2004,10,29,198.87,199.95,190.63,190.89,19683800
2004,11,01,193.46,197.67,191.27,195.8,11878667
2004,11,02,198.73,199.25,193.34,194.5,10877824
2004,11,03,198.16,201.6,190.75,191.07,13239540
2004,11,04,188.25,190.4,183.35,184.84,13648758
2004,11,05,181.98,182.3,168.55,169.21,18846515
2004,11,08,170.93,175.44,169.4,172.7,10444217
2004,11,09,174.1,175.2,165.27,168.67,10763309
2004,11,10,170.67,172.52,166.33,168.1,10051746
2004,11,11,170,183.75,167.57,183.51,14532487
2004,11,12,185.27,189.8,177.4,181.2,16210981
2004,11,15,180.74,188.32,178.75,185.1,11579545
2004,11,16,174.27,179.47,170.83,172.2,19508885
2004,11,17,169.41,177.5,169,172.12,16714903
2004,11,18,170.28,174.42,165.73,167.25,14849563
2004,11,19,169,169.98,166.52,169.13,8185713
2004,11,22,168.65,169.5,161.31,165.17,11982793
2004,11,23,167.97,170.83,166.5,167.47,10204784
2004,11,24,174.85,177.21,172.51,174.8,13809814
2004,11,26,176,180.03,175.32,179.08,6323406
2004,11,29,180.26,182.95,177.51,181.24,10041354
2004,11,30,180.7,182.91,180.25,181.85,6823344
2004,12,01,182.05,182.5,179.55,180,7210916
2004,12,02,179.9,181.51,178.55,179.35,5924397
2004,12,03,180,181.06,177.6,180.27,5628729
2004,12,06,179.21,180.7,176.02,176.28,5924822
2004,12,07,175.95,176.2,170.55,171.33,6320266
2004,12,08,170.34,173.68,168.73,169.95,7080832
2004,12,09,170.25,173.5,168.47,173.4,7395472
2004,12,10,173.43,174.88,171.51,171.58,4109089
2004,12,13,171.94,173.18,169.45,170.43,4670700
2004,12,14,171.19,178.34,169.6,178.32,10739164
2004,12,15,177.99,180.69,176.66,179.58,10845719
2004,12,16,177.16,180.49,175.95,176.4,8131356
2004,12,17,176.76,180.28,176.55,179.99,6572713
2004,12,20,182,188.46,181.87,185.29,9464295
2004,12,21,186.32,187.88,183.4,183.8,5318668
2004,12,22,183.9,186.85,183.01,186.44,3632183
2004,12,23,187.45,188.6,186,187.79,3490163
2004,12,27,189.15,193.3,189.1,191.65,5985555
2004,12,28,192.11,193.55,191.01,192.84,4001455
2004,12,29,191.97,193.52,191.78,192.75,2557752
2004,12,30,192.97,198.23,191.85,197.7,5752530
2004,12,31,199.23,199.88,192.56,193.27,7255152
2005,01,03,197.4,203.64,195.46,202.65,15040617
2005,01,04,201.51,202.93,193.48,194.51,13218623
2005,01,05,193.05,196.9,192.23,193.63,8009304
2005,01,06,195.25,195.9,187.72,188.66,10173270
2005,01,07,190.67,194.25,188.78,193.67,9070820
2005,01,10,194.54,198.1,191.83,194.89,7261378
2005,01,11,195.54,197.71,193.18,193.66,6525067
2005,01,12,194.33,195.93,190.5,195.34,8018579
2005,01,13,195.38,197.39,194.05,195.45,6351912
2005,01,14,195.85,200.01,194.13,200,8227647
2005,01,18,200.89,205.02,198.66,203.74,12001771
2005,01,19,204.67,205.3,196.71,197.35,10371100
2005,01,20,192.58,196.25,192,193.88,8604393
2005,01,21,194.44,195.36,188.88,188.94,8642183
2005,01,24,188.69,189.33,180.32,181,13538238
2005,01,25,182.2,182.24,176.29,177.07,10376229
2005,01,26,179.27,189.35,179.15,189.09,11919045
2005,01,27,188.59,188.86,185.2,187.98,6404590
2005,01,28,190.13,194.7,186.34,190.45,11873675
2005,01,31,193.75,196.36,191.72,195.67,9191812
2005,02,01,194.01,196.66,190.63,191.79,11569151
2005,02,02,215.58,216.8,203.66,206.1,30083406
2005,02,03,206.17,213.37,205.81,210.91,12588596
2005,02,04,206.52,207.75,202.6,203.86,14245315
2005,02,07,205.26,206.4,195.51,195.73,12429323
2005,02,08,197.12,200.02,194.53,198.7,11163179
2005,02,09,200.76,201.6,189.46,191.42,16555701
2005,02,10,192.16,192.22,185.25,188.11,18555284
2005,02,11,186.66,192.32,186.07,187.41,12752609
2005,02,14,182.87,192.8,181,192.75,36380822
2005,02,15,193.61,199.84,193.08,195.3,24754616
2005,02,16,194.75,199.33,194.3,198.25,15692270
2005,02,17,197.85,199.75,196.81,197.84,10077101
2005,02,18,198.46,198.84,196.66,197.97,7506258
2005,02,22,196.5,198.9,190.39,191.2,12952846
2005,02,23,193.18,193.8,188.66,193.6,14236114
2005,02,24,183.35,189.85,182.23,188.96,22917537
2005,02,25,189.18,189.92,185.51,185.83,9660432
2005,02,28,186.24,189.87,185.85,187.79,7528058
2005,03,01,189.69,189.75,185.39,185.97,9031572
2005,03,02,185.75,187.67,184.36,185.23,7102257
2005,03,03,186.09,187.75,184.31,187,7461875
2005,03,04,186.85,187.25,185.07,185.77,6535467
2005,03,07,187.78,189.6,187.03,188.63,8184442
2005,03,08,189.1,189.85,184.97,185.02,7620675
2005,03,09,184.21,184.65,180.16,181.39,10840557
2005,03,10,181.01,181.2,177.4,179.71,10323276
2005,03,11,180.44,180.95,177.15,177.8,7783540
2005,03,14,178.33,178.4,172.57,174.7,10643819
2005,03,15,175.3,180,174.21,178.47,10168910
2005,03,16,176.7,178.61,175.01,175.38,6478228
2005,03,17,177.13,179.64,175.8,179.27,7869796
2005,03,18,178.81,180.4,178.31,179.79,5769267
2005,03,21,179.27,182.17,177.25,180.98,7264734
2005,03,22,181.11,181.94,177.85,178.11,5450358
2005,03,23,177.97,180.24,177.97,179.25,4684520
2005,03,24,180.7,180.86,179.2,179.32,3428164
2005,03,28,181.68,184.8,180.95,181.1,8454328
2005,03,29,180.85,183.28,178.07,179.53,6305475
2005,03,30,180.64,181.45,179.6,180.32,6030109
2005,03,31,177.95,181.39,177.64,180.34,6120066
2005,04,01,181.76,182.95,179.99,180.05,5984244
2005,04,04,179.95,185.26,179.84,185.15,7960431
2005,04,05,187.67,190.26,187.57,188.56,8272419
2005,04,06,189.17,189.65,187.58,189.14,5095000
2005,04,07,188.78,194.62,188.64,194,9510251
2005,04,08,193.69,195.1,191.45,192.1,4953256
2005,04,11,193.09,194.8,192.32,193.25,4790494
2005,04,12,193,194.17,189.41,193.69,6872035
2005,04,13,193.47,194.32,189.73,192.69,5944037
2005,04,14,193.21,194.36,190.1,191.61,5976566
2005,04,15,190.1,190.34,184.66,185.03,11081685
2005,04,18,184.58,187.88,183.49,187.01,6340409
2005,04,19,189.2,192,188.03,191.45,6906867
2005,04,20,198.58,200.5,195.91,198.18,14418827
2005,04,21,200.7,205,199.32,203.87,12550851
2005,04,22,222.84,224,214.26,216.2,29943087
2005,04,25,217.52,224.74,217.52,223.39,18966727
2005,04,26,220.22,222,218.29,218.49,15787431
2005,04,27,217.89,220.85,216.74,219.82,10027194
2005,04,28,219.47,222.08,217.71,219.1,8383813
2005,04,29,222.13,222.25,217.82,219.8,8805325
2005,05,02,222.06,223.7,220.21,222.22,9311830
2005,05,03,221.59,228.15,221.32,226.28,17336584
2005,05,04,227.06,229.88,227,228.35,11610991
2005,05,05,228.62,228.62,225.88,226.84,7351521
2005,05,06,228.4,229.25,226.47,227.92,6440428
2005,05,09,228,228.5,225.43,225.95,5388830
2005,05,10,225.61,227.6,224.72,227.59,5769059
2005,05,11,228.97,231.98,227.93,231.29,10462641
2005,05,12,230.81,232.23,228.2,228.69,8483421
2005,05,13,229.18,231.09,227.32,229.11,7154410
2005,05,16,229.68,231.62,228.57,230.95,5515958
2005,05,17,230.56,233.45,230.2,233.1,7552119
2005,05,18,233.62,239.97,233.52,239.16,11903157
2005,05,19,240.36,241.17,238.27,239.15,9139059
2005,05,20,241.21,241.6,239.65,241.58,7500234
2005,05,23,243.16,258.1,242.71,255.29,20728193
2005,05,24,256.96,265.44,253.5,255.58,28428420
2005,05,25,252.73,260.48,250.63,260.35,17180412
2005,05,26,260.96,263.76,258.3,259.19,13022968
2005,05,27,260.46,266.05,259.25,265.68,11823552
2005,05,31,269.72,277.15,269.37,277.02,18670017
2005,06,01,283.2,292.89,282.02,287.11,33164580
2005,06,02,288.75,289.78,284.6,288.21,16906813
2005,06,03,286.79,289.3,277.41,280,18237814
2005,06,06,282.39,293.75,281.83,290.9,21891349
2005,06,07,297.11,299.59,290.3,293.15,23149237
2005,06,08,292.85,293.19,278,279.98,24680477
2005,06,09,284.71,288.5,280.56,285.72,15622448
2005,06,10,286.99,287.28,280.02,282.36,12127547
2005,06,13,279.82,284.19,276.52,282.55,12389531
2005,06,14,278.68,281.24,277.75,278.47,9369219
2005,06,15,275,277.3,267.43,274.51,20147070
2005,06,16,274.26,278.3,273.07,277.37,11865751
2005,06,17,278.9,280.26,275.9,279.87,8964633
